month,source,demand,x_hm3,delivered_hm3,cost_USD,benefit_USD
Abr,Viru_Rio,Viru,4.89888,1.469664,8836.6,2650.98
Nov,Santa,Industria,1.296,1.296,32166.72,32166.72
Sep,Santa,S2,1.747416,1.5552,43370.86,38600.06
Jul,Santa,Viru,3.961023,1.188307,98312.58,2143.47
Mar,Santa,S1,13.512378,12.026016,335377.22,298485.73
Feb,Chorobal,Chao,0.0,0.0,0.0,0.0
May,Pozos_Chao,Chao,0.0,0.0,0.0,0.0
Nov,Pozos_Viru,Viru,0.648,0.1944,39858.48,350.66
Sep,Santa,PTAP_Chao,0.10368,0.10368,2573.34,2997.91
Jun,Santa,Industria,1.296,1.296,32166.72,32166.72
Feb,Santa,S1,12.857097,11.442816,319113.15,284010.7
Mar,Pozos_Chao,Chao,0.0,0.0,0.0,0.0
Ene,Viru_Rio,Viru,0.562464,0.168739,1014.57,304.37
Jun,Pozos_Viru,Viru,0.3888,0.11664,23915.09,210.4
May,Huamanzaña,Chao,0.0,0.0,0.0,0.0
Sep,Dren_Viru,Viru,1.52928,0.458784,2758.52,827.55
Jul,Santa,Industria,1.3392,1.3392,33238.94,33238.94
Oct,Santa,Pecuario,1.60704,1.60704,39886.73,39886.73
Nov,Santa,Pecuario,1.5552,1.5552,38600.06,38600.06
Oct,Santa,Chao,0.0,0.0,0.0,0.0
Nov,Santa,Chao,0.0,0.0,0.0,0.0
Mar,Huamanzaña,Chao,0.0,0.0,0.0,0.0
Jul,Pozos_Viru,Viru,0.508896,0.152669,31302.19,275.38
Feb,Santa,S3,7.909968,7.039872,196325.42,174729.62
Mar,Santa,Viru,6.125712,1.837713,152040.16,3314.87
Jun,Santa,Pecuario,1.5552,1.5552,38600.06,38600.06
Jun,Santa,Chao,0.0,0.0,0.0,0.0
May,Santa,PTAP_Trujillo,3.133728,3.133728,77779.13,90611.75
May,Dren_Chao,Chao,1.392768,0.41783,2500.44,750.13
Feb,Santa,Viru,6.810999,2.0433,169049.01,3685.7
Mar,Santa,Industria,1.3392,1.3392,33238.94,33238.94
Oct,Chorobal,Chao,0.0,0.0,0.0,0.0
Mar,Pozos_Viru,Viru,0.0,0.0,0.0,0.0
Dic,Santa,PTAP_Trujillo,3.240864,3.240864,80438.24,93709.58
Oct,Santa,S1,10.382562,9.24048,257695.19,229348.72
Abr,Santa,S1,12.96,11.5344,321667.2,286283.81
May,Santa,PTAP_Chao,0.107136,0.107136,2659.12,3097.84
Dic,Dren_Chao,Chao,2.223072,0.666922,3991.08,1197.32
Feb,Santa,Industria,1.2096,1.2096,30022.27,30022.27
Feb,Pozos_Viru,Viru,0.0,0.0,0.0,0.0
Oct,Pozos_Chao,Chao,0.642816,0.192845,39539.61,346.21
Nov,Pozos_Chao,Chao,0.0,0.0,0.0,0.0
Ene,Santa,S1,13.843416,12.32064,343593.59,305798.29
Oct,Santa,S3,6.380009,5.678208,158351.82,140933.12
Abr,Santa,S3,7.979865,7.10208,198060.25,176273.63
Dic,Santa,PTAP_Chao,0.107136,0.107136,2659.12,3097.84
Sep,Viru_Rio,Viru,0.0,0.0,0.0,0.0
Jun,Pozos_Chao,Chao,0.0,0.0,0.0,0.0
